modelName,	radius1,	radius2,	delta1,	delta2,	d1,	d2,	d3,	isCross,	                    flowrate,	P_in,	P_out,	T_wall,	T_fluid,	Nu,	friction,	tp,	rela_Nu,                    	rela_f,	rela_tp
model3229,10.322581,10.0,6.0,2.0,20.698413,26.730159,25.52381,True,0.05025,2.499,0.001508,294.1,293.6,411.642411642,0.0523441751095,7864.1493687,rela_nu,rela_f,rela_tp
model3230,14.193548,13.870968,6.0,10.0,31.555556,32.15873,36.984127,True,0.05025,1.753,0.001408,294.2,293.6,343.035343035,0.0367110839067,9344.18999741,rela_nu,rela_f,rela_tp
model3231,13.870968,16.451613,6.0,12.0,40.0,27.936508,30.952381,True,0.05025,2.107,0.001818,294.2,293.6,343.035343035,0.0441218691573,7774.72372742,rela_nu,rela_f,rela_tp
model3232,13.225806,14.193548,6.0,10.0,31.555556,22.507937,27.333333,False,0.05025,2.151,0.002356,294.2,293.6,343.035343035,0.0450327759945,7617.45940507,rela_nu,rela_f,rela_tp
model3233,13.225806,14.193548,6.0,12.0,31.555556,22.507937,27.333333,False,0.05025,1.79,0.001918,294.2,293.6,343.035343035,0.0374758667167,9153.49992111,rela_nu,rela_f,rela_tp
model3234,13.870968,16.451613,6.0,12.0,40.0,36.984127,27.936508,False,0.05025,1.867,0.001488,294.2,293.6,343.035343035,0.0390986985331,8773.57446425,rela_nu,rela_f,rela_tp
model3235,13.225806,14.193548,6.0,12.0,40.0,36.984127,27.936508,False,0.05025,1.367,0.0007721,294.2,293.6,343.035343035,0.0286343549597,11979.8522969,rela_nu,rela_f,rela_tp
model3236,13.870968,16.451613,6.0,12.0,35.174603,36.984127,27.936508,False,0.05025,1.862,0.001197,294.2,293.6,343.035343035,0.0390000040345,8795.77711662,rela_nu,rela_f,rela_tp
model3237,13.870968,16.451613,6.0,12.0,36.380952,34.571429,27.936508,True,0.05025,1.82,0.001315,294.2,293.6,343.035343035,0.0381172656845,8999.47404083,rela_nu,rela_f,rela_tp
model3238,13.870968,16.451613,6.0,12.0,40.0,36.984127,35.777778,True,0.05025,1.469,0.001289,294.2,293.6,343.035343035,0.0307613083822,11151.519915,rela_nu,rela_f,rela_tp
model3239,13.548387,14.516129,6.0,12.0,40.0,27.936508,30.952381,True,0.05025,1.633,0.001277,294.2,293.6,343.035343035,0.034198785999,10030.6292465,rela_nu,rela_f,rela_tp
model3240,14.193548,13.870968,6.0,10.0,31.555556,28.539683,32.15873,False,0.05025,2.126,0.001659,294.2,293.6,343.035343035,0.0445234168102,7704.60507327,rela_nu,rela_f,rela_tp
model3241,13.225806,14.193548,6.0,12.0,35.174603,36.984127,27.936508,False,0.05025,1.369,0.001164,294.2,293.6,343.035343035,0.0286680586384,11965.768152,rela_nu,rela_f,rela_tp
model3242,10.967742,14.193548,6.0,10.0,31.555556,32.15873,36.984127,True,0.05025,1.046,0.001088,294.2,293.6,343.035343035,0.0218999927535,15663.7194768,rela_nu,rela_f,rela_tp
model3243,13.870968,12.258065,6.0,10.0,31.555556,22.507937,37.587302,False,0.05025,1.45,0.001208,294.2,293.6,343.035343035,0.0303647908162,11297.1416504,rela_nu,rela_f,rela_tp
model3244,13.870968,16.451613,6.0,12.0,39.396825,36.984127,29.746032,False,0.05025,1.898,0.001486,294.2,293.6,343.035343035,0.0397484600205,8630.15429675,rela_nu,rela_f,rela_tp
model3245,13.225806,14.193548,6.0,12.0,36.380952,33.365079,27.936508,True,0.05025,1.445,0.001337,294.2,293.6,343.035343035,0.0302572936654,11337.277776,rela_nu,rela_f,rela_tp
model3246,11.290323,12.258065,6.0,10.0,31.555556,22.507937,37.587302,False,0.05025,0.9971,0.0007455,294.3,293.6,294.03029403,0.0208822908819,14080.3657843,rela_nu,rela_f,rela_tp
model3247,13.548387,14.516129,6.0,12.0,40.0,27.936508,30.952381,False,0.05025,1.633,0.001277,294.2,293.6,343.035343035,0.034198785999,10030.6292465,rela_nu,rela_f,rela_tp
model3248,14.193548,13.870968,6.0,10.0,35.174603,36.984127,35.777778,True,0.05025,1.567,0.0008673,294.2,293.6,343.035343035,0.0328240988534,10450.7162426,rela_nu,rela_f,rela_tp
model3249,13.870968,16.451613,6.0,12.0,36.380952,28.539683,32.15873,False,0.05025,1.963,0.001706,294.2,293.6,343.035343035,0.0411061643349,8345.1070803,rela_nu,rela_f,rela_tp
model3250,10.967742,14.193548,6.0,6.0,21.301587,32.15873,35.777778,True,0.05025,1.832,0.00136,294.2,293.6,343.035343035,0.0383678268929,8940.70294867,rela_nu,rela_f,rela_tp
model3251,14.193548,13.870968,6.0,10.0,31.555556,32.15873,37.587302,False,0.05025,1.757,0.001417,294.2,293.6,343.035343035,0.0367947300617,9322.94767376,rela_nu,rela_f,rela_tp
model3252,14.193548,13.870968,8.0,10.0,33.968254,23.111111,36.984127,True,0.05025,1.129,0.001135,294.2,293.6,343.035343035,0.0236385794468,14511.673335,rela_nu,rela_f,rela_tp
model3253,13.225806,14.193548,6.0,12.0,35.174603,32.15873,37.587302,False,0.05025,1.188,0.000822,294.2,293.6,343.035343035,0.0248817025713,13786.6507347,rela_nu,rela_f,rela_tp
model3254,13.870968,16.451613,6.0,12.0,38.793651,24.920635,37.587302,False,0.05025,1.638,0.0009907,294.2,293.6,343.035343035,0.0343095799526,9998.23791224,rela_nu,rela_f,rela_tp
model3255,13.225806,14.193548,6.0,10.0,31.555556,32.15873,35.777778,False,0.05025,1.268,0.001134,294.2,293.6,343.035343035,0.0265518591228,12919.4472391,rela_nu,rela_f,rela_tp
