0,0.0261,0.5595
1,0.0290,0.6293
2,0.0275,0.6212
3,0.0286,0.6387
4,0.0271,0.6408
5,0.0271,0.6548
6,0.0270,0.6720
7,0.0274,0.7001
8,0.0263,0.7396
9,0.0283,0.7910
10,-0.3463,0.8087
11,-1.2056,0.7470
12,-0.6851,0.8021
13,-0.9637,0.7953
14,-0.8834,0.8054
15,-0.9661,0.8018
16,-0.8315,0.8059
17,-0.8735,0.8021
18,-0.9509,0.7968
19,-0.9855,0.8017
20,-1.0578,0.7811
21,-0.8960,0.7956
22,-0.6339,0.8134
23,-0.7648,0.8135
24,-0.6967,0.8140
25,-0.5724,0.8165
26,-0.6717,0.8157
27,-0.5817,0.8171
28,-0.7244,0.8162
29,-0.7419,0.8154
30,-0.5701,0.8170
31,-0.5670,0.8179
32,-0.6254,0.8176
33,-0.6087,0.8185
34,-0.5850,0.8185
35,-0.5614,0.8180
36,-0.5413,0.8191
37,-0.5547,0.8191
38,-0.5479,0.8176
39,-0.6615,0.8171
40,-0.6274,0.8192
41,-0.6647,0.8176
42,-0.5900,0.8199
43,-0.6171,0.8193
44,-0.5288,0.8205
45,-0.4596,0.8209
46,-0.4414,0.8208
47,-0.4348,0.8210
48,-0.3971,0.8212
49,-0.4696,0.8178
50,-0.6251,0.8160
51,-0.7369,0.8171
52,-0.7137,0.8187
53,-0.7357,0.8177
54,-0.6802,0.8189
55,-0.6910,0.8195
56,-0.4859,0.8231
57,-0.4047,0.8220
58,-0.5594,0.8196
59,-0.6893,0.8198
60,-0.5668,0.8221
61,-0.6071,0.8147
62,-0.6786,0.8215
63,-0.5160,0.8241
64,-0.5367,0.8239
65,-0.7085,0.8157
66,-0.7536,0.8212
67,-0.6916,0.8221
68,-0.6680,0.8230
69,-0.5624,0.8276
70,-0.6381,0.8271
71,-0.6813,0.8277
72,-0.5350,0.8288
73,-0.4956,0.8304
74,-0.5197,0.8308
75,-0.4654,0.8313
76,-0.5787,0.8327
77,-0.4306,0.8334
78,-0.5363,0.8352
79,-0.5109,0.8365
80,-0.2357,0.8324
81,-0.4205,0.8388
82,-0.3849,0.8408
83,-0.5045,0.8424
84,-0.3658,0.8442
85,-0.6192,0.8468
86,-0.4322,0.8493
87,-0.4801,0.8492
88,-0.5286,0.8557
89,-0.3307,0.8570
90,-0.2223,0.8585
91,-0.1694,0.8632
92,-0.1407,0.8670
93,0.0367,0.8668
94,0.0366,0.8705
95,0.0371,0.8715
96,0.0381,0.8704
97,0.0393,0.8627
98,0.0385,0.8680
99,0.0357,0.8775
100,0.0360,0.8793
101,0.0372,0.8784
102,0.0381,0.8770
103,0.0374,0.8728
104,0.0365,0.8792
105,0.0376,0.8789
106,0.0370,0.8762
107,0.0323,0.8752
108,0.0374,0.8775
109,0.0365,0.8772
110,0.0365,0.8792
111,0.0362,0.8816
112,0.0365,0.8727
113,0.0371,0.8744
114,0.0397,0.8271
115,0.0344,0.8783
116,0.0351,0.8812
117,0.0348,0.8777
