0,0.0129, 0.3565
1,0.0346, 0.5983
2,0.0334, 0.6174
3,0.0341, 0.6297
4,0.0356, 0.6405
5,0.0357, 0.6501
6,0.0346, 0.6591
7,0.0343, 0.6689
8,0.0329, 0.6782
9,0.0321, 0.6876
10,0.0326, 0.6985
11,0.0323, 0.7066
12,0.0340, 0.7183
13,0.0361, 0.7342
14,0.0384, 0.7504
15,0.0387, 0.7629
16,0.0398, 0.7729
17,0.0395, 0.7806
18,0.0384, 0.7869
19,0.0381, 0.7907
20,0.0384, 0.7936
21,0.0386, 0.7949
22,0.0385, 0.7966
23,0.0381, 0.7980
24,0.0384, 0.7990
25,0.0383, 0.8000
26,0.0384, 0.8008
27,0.0384, 0.8013
28,0.0377, 0.8022
29,0.0377, 0.8026
30,0.0385, 0.8034
31,0.0384, 0.8039
32,0.0383, 0.8049
33,0.0381, 0.8049
34,0.0380, 0.8061
35,0.0381, 0.8069
36,0.0382, 0.8073
37,0.0378, 0.8077
38,0.0384, 0.8088
39,0.0379, 0.8092
40,0.0382, 0.8101
41,0.0377, 0.8106
42,0.0379, 0.8109
43,0.0376, 0.8119
44,0.0377, 0.8127
45,0.0376, 0.8134
46,0.0374, 0.8136
47,0.0371, 0.8146
48,0.0369, 0.8153
49,0.0374, 0.8162
50,0.0371, 0.8168
51,0.0374, 0.8175
52,0.0366, 0.8183
53,0.0362, 0.8191
54,0.0364, 0.8195
55,0.0364, 0.8202
56,0.0365, 0.8200
57,0.0362, 0.8207
58,0.0357, 0.8215
59,0.0354, 0.8229
60,0.0355, 0.8220
61,0.0348, 0.8230
62,0.0342, 0.8248
63,0.0344, 0.8252
64,0.0342, 0.8267
65,0.0350, 0.8249
66,0.0340, 0.8273
67,0.0340, 0.8274
68,0.0336, 0.8294
69,0.0338, 0.8294
70,0.0334, 0.8310
71,0.0327, 0.8328
72,0.0324, 0.8334
73,0.0337, 0.8309
74,0.0343, 0.8281
75,0.0335, 0.8332
76,0.0334, 0.8349
77,0.0335, 0.8356
78,0.0332, 0.8341
79,0.0332, 0.8330
80,0.0325, 0.8353
81,0.0330, 0.8347
82,0.0324, 0.8388
83,0.0330, 0.8402
84,0.0340, 0.8391
85,0.0340, 0.8395
86,0.0336, 0.8381
87,0.0329, 0.8386
88,0.0338, 0.8395
89,0.0334, 0.8371
90,0.0330, 0.8373
91,0.0326, 0.8443
92,0.0325, 0.8487
93,0.0330, 0.8497
94,0.0340, 0.8480
95,0.0336, 0.8453
96,0.0337, 0.8416
97,0.0333, 0.8445
98,0.0327, 0.8490
99,0.0333, 0.8531
100,0.0340, 0.8523
101,0.0338, 0.8540
102,0.0330, 0.8576
103,0.0333, 0.8583
104,0.0339, 0.8566
105,0.0332, 0.8578
106,0.0335, 0.8579
107,0.0335, 0.8593
108,0.0326, 0.8636
109,0.0333, 0.8646
110,0.0333, 0.8672
111,0.0329, 0.8694
112,0.0317, 0.8721
113,0.0328, 0.8727
114,0.0328, 0.8741
115,0.0336, 0.8739
116,0.0330, 0.8764
117,0.0329, 0.8777
118,0.0325, 0.8793
119,0.0325, 0.8797
120,0.0318, 0.8807
121,0.0319, 0.8828
122,0.0322, 0.8834
123,0.0320, 0.8845
124,0.0321, 0.8861
125,0.0334, 0.8859
126,0.0330, 0.8859
127,0.0316, 0.8866
128,0.0328, 0.8882
129,0.0324, 0.8881
130,0.0334, 0.8886
131,0.0336, 0.8880
132,0.0333, 0.8894
133,0.0337, 0.8887
134,0.0348, 0.8848
135,0.0351, 0.8858
136,0.0349, 0.8876
137,0.0344, 0.8898
138,0.0358, 0.8864
139,0.0348, 0.8904
140,0.0364, 0.8845
141,0.0354, 0.8887
142,0.0348, 0.8895
143,0.0359, 0.8872
144,0.0363, 0.8869
145,0.0353, 0.8890
146,0.0352, 0.8896
147,0.0357, 0.8891
148,0.0355, 0.8900
149,0.0350, 0.8910
150,0.0351, 0.8897
151,0.0346, 0.8907
152,0.0350, 0.8900
153,0.0350, 0.8905
154,0.0350, 0.8900
155,0.0355, 0.8883
156,0.0351, 0.8900
157,0.0345, 0.8921
158,0.0348, 0.8922
159,0.0344, 0.8924
160,0.0344, 0.8924
161,0.0341, 0.8932
162,0.0345, 0.8927
163,0.0342, 0.8939
164,0.0347, 0.8931
165,0.0345, 0.8934
166,0.0354, 0.8914
167,0.0345, 0.8948
168,0.0349, 0.8946
169,0.0348, 0.8942
170,0.0344, 0.8942
171,0.0347, 0.8944
172,0.0351, 0.8939
173,0.0348, 0.8931
174,0.0342, 0.8954
175,0.0345, 0.8952
176,0.0342, 0.8957
177,0.0345, 0.8944
178,0.0342, 0.8953
179,0.0345, 0.8940
180,0.0343, 0.8959
181,0.0330, 0.8963
182,0.0339, 0.8963
183,0.0330, 0.8962
184,0.0335, 0.8965
185,0.0338, 0.8955
186,0.0337, 0.8961
187,0.0329, 0.8958
188,0.0334, 0.8965
189,0.0329, 0.8964
190,0.0327, 0.8964
191,0.0329, 0.8968
192,0.0331, 0.8970
193,0.0336, 0.8961
194,0.0336, 0.8969
195,0.0334, 0.8967
196,0.0332, 0.8973
197,0.0326, 0.8972
198,0.0330, 0.8974
199,0.0329, 0.8971
200,0.0326, 0.8969
201,0.0333, 0.8976
202,0.0334, 0.8974
203,0.0337, 0.8976
204,0.0340, 0.8980
205,0.0341, 0.8958
206,0.0347, 0.8960
207,0.0331, 0.8977
208,0.0333, 0.8976
209,0.0339, 0.8975
210,0.0347, 0.8956
211,0.0334, 0.8976
212,0.0345, 0.8972
213,0.0336, 0.8983
214,0.0339, 0.8978
