modelName,	radius1,	radius2,	delta1,	delta2,	d1,	d2,	d3,	isCross,	                    flowrate,	P_in,	P_out,	T_wall,	T_fluid,	Nu,	friction,	tp,	rela_Nu,                    	rela_f,	rela_tp
model1056,16.050113425,6.81207336422,11.2627965313,-1.49150898482,26.2789930361,29.2934242069,20.9992685741,True,0.05025,2.41,0.0005442,294.3,293.6,294.03029403,0.0504990511736,5822.49145671,rela_nu,rela_f,rela_tp
model1057,4.29298305282,12.6061559692,4.15274855957,4.33557051949,20.7132327677,30.4373368561,39.4293298977,True,0.05025,2.236,0.000455,294.3,293.6,294.03029403,0.0468541076188,6275.44326364,rela_nu,rela_f,rela_tp
model1058,9.37174860364,12.9493566234,4.18410502477,6.88509761332,24.9626327473,38.6906037703,22.7547796181,False,0.05025,2.132,0.0005104,294.3,293.6,294.03029403,0.0446732421431,6581.79885598,rela_nu,rela_f,rela_tp
model1059,5.15922044301,4.91285349631,2.91570835584,4.73506300094,15.7313959825,35.7655731324,35.6084359016,False,0.05025,0.6929,0.0002472,294.6,293.6,205.821205821,0.0145170993354,14177.8464875,rela_nu,rela_f,rela_tp
model1060,3.19204966007,8.63900144979,0.958229294238,6.11173738217,15.6953467677,37.2871441481,39.9994274179,True,0.05025,0.6796,0.000177,294.6,293.6,205.821205821,0.0142398199816,14453.9190866,rela_nu,rela_f,rela_tp
model1061,8.82653358808,19.6725542355,2.05900589779,18.9014698575,39.7984442431,33.448694313,39.6349603372,False,0.05025,0.9183,0.0002415,294.4,293.6,257.276507277,0.0192413088349,13371.0502484,rela_nu,rela_f,rela_tp
model1062,18.8109141032,4.04357783535,15.7620583887,-0.305538116282,24.1064370848,18.2075411503,25.5313275952,True,0.05025,1.288,0.0003279,294.4,293.6,257.276507277,0.0269879278436,9533.02190399,rela_nu,rela_f,rela_tp
model1063,10.7024591891,4.47214665416,9.01770845586,1.13485439211,16.6088875868,38.2085229388,26.339872514,False,0.05025,0.7561,0.0002422,294.5,293.6,228.69022869,0.0158417937039,14435.8797347,rela_nu,rela_f,rela_tp
model1064,5.40145269814,8.29382438256,4.9583773644,1.72506252477,5.54621295265,34.1215602388,30.9284606607,True,0.05025,1.4,0.0005494,294.4,293.6,257.276507277,0.0293306594229,8771.58960413,rela_nu,rela_f,rela_tp
model1065,6.73834430585,17.1307749639,5.71545519129,15.9159052087,12.8840809115,38.1064157048,21.8058202254,False,0.05025,0.5856,0.0002447,294.5,293.6,228.69022869,0.012268283672,18640.7679187,rela_nu,rela_f,rela_tp
model1066,13.1601357389,15.0360188269,4.29272139295,7.99145514388,37.7263229753,29.0456347917,31.7260627255,False,0.05025,3.641,0.0002585,294.2,293.6,343.035343035,0.076305193612,4495.57004966,rela_nu,rela_f,rela_tp
model1067,12.3590978598,10.2609769428,7.87547973426,4.98478940451,19.8857892133,32.3190311304,24.7293914708,True,0.05025,2.014,0.000724,294.3,293.6,294.03029403,0.0421956392604,6968.26257841,rela_nu,rela_f,rela_tp
